Country Name,Average GDP (1983-2018)
Aruba,1814801013
Afghanistan,13694530595
Angola,43520929168
Albania,6408803782
Andorra,2001017019
Arab World,1.198E+12
United Arab Emirates,1.68268E+11
Argentina,2.89031E+11
Armenia,5791805585
American Samoa,584764705.9
Antigua and Barbuda,836681898
Australia,6.67767E+11
Austria,2.65286E+11
Azerbaijan,26187441644
Burundi,1471790953
Belgium,3.20163E+11
Benin,5640456303
Burkina Faso,5432876349
Bangladesh,80501263188
Bulgaria,30094865544
Bahrain,14589018159
"Bahamas, The",7104014161
Bosnia and Herzegovina,11719988292
Belarus,35199856889
Belize,930414459
Bermuda,3267078936
Bolivia,13596734261
Brazil,1.05155E+12
Barbados,3161099246
Brunei Darussalam,8110766206
Bhutan,845394556
Botswana,7906349727
Central African Republic,1406485726
Canada,9.8387E+11
Central Europe and the Baltics,8.59657E+11
Switzerland,3.91021E+11
Channel Islands,7744863660
Chile,1.19863E+11
China,3.46954E+12
Cote d'Ivoire,17626180500
Cameroon,18024754519
"Congo, Dem. Rep.",15931691166
"Congo, Rep.",5705603926
Colombia,1.53162E+11
Comoros,600333866.9
Cabo Verde,899613958.9
Costa Rica,22348581178
Caribbean small states,40253997931
Cuba,45009016336
Curacao,3124316850
Cayman Islands,4325433088
Cyprus,13848575093
Czech Republic,1.29953E+11
Germany,2.48651E+12
Djibouti,986620086
Dominica,338535561.5
Denmark,2.15216E+11
Dominican Republic,32096974020
Algeria,98096251372
East Asia & Pacific (excluding high income),4.45059E+12
Early-demographic dividend,4.88989E+12
East Asia & Pacific,1.08138E+13
Europe & Central Asia (excluding high income),1.89262E+12
Europe & Central Asia,1.38001E+13
Ecuador,43731594929
"Egypt, Arab Rep.",1.24159E+11
Euro area,8.55359E+12
Eritrea,1031287009
Spain,8.55223E+11
Estonia,15226328222
Ethiopia,22904178304
European Union,9.71228E+12
Fragile and conflict affected situations,7.10178E+11
Finland,1.69517E+11
Fiji,2563466965
France,1.79999E+12
Faroe Islands,1970799778
"Micronesia, Fed. Sts.",237331276.8
Gabon,8634107265
United Kingdom,1.83231E+12
Georgia,8551854954
Ghana,19519860915
Gibraltar,#DIV/0!
Guinea,4935699759
"Gambia, The",881023160.9
Guinea-Bissau,538063503
Equatorial Guinea,6498925304
Greece,1.71933E+11
Grenada,552793420.9
Greenland,1516784446
Guatemala,28001882904
Guam,4833000000
Guyana,1339731325
High income,3.14171E+13
"Hong Kong SAR, China",1.71153E+11
Honduras,10326500210
Heavily indebted poor countries (HIPC),2.95408E+11
Croatia,44481283040
Haiti,4573177553
