Country Name,GDP Per Capita
Aruba,19574.81646
Afghanistan,439.9964453
Angola,1911.661092
Albania,2167.461183
Andorra,27310.556
Arab World,3635.630887
United Arab Emirates,33030.75038
Argentina,7463.395225
Armenia,1958.297428
American Samoa,10271.34382
Antigua and Barbuda,10387.09536
Australia,31642.36412
Austria,32222.14965
Azerbaijan,2881.422253
Burundi,200.419638
Belgium,30102.58879
Benin,673.9704823
Burkina Faso,391.0500964
Bangladesh,576.52884
Bulgaria,3927.397342
Bahrain,14912.79335
"Bahamas, The",21953.86384
Bosnia and Herzegovina,3249.485852
Belarus,3656.418855
Belize,3315.423798
Bermuda,52099.95041
Bolivia,1443.466563
Brazil,5650.69814
Barbados,11470.87036
Brunei Darussalam,22944.85812
Bhutan,1272.82775
Botswana,4346.472366
Central African Republic,384.5040416
Canada,30451.66849
Central Europe and the Baltics,8177.02894
Switzerland,51711.64181
Channel Islands,51427.18963
Chile,7232.475884
China,2589.023838
Cote d'Ivoire,995.0375409
Cameroon,1048.940932
"Congo, Dem. Rep.",287.5965986
"Congo, Rep.",1527.257823
Colombia,3559.618977
Comoros,1009.529274
Cabo Verde,1930.762695
Costa Rica,5132.726345
Caribbean small states,5953.959491
Cuba,4061.225095
Curacao,19999.07866
Cayman Islands,75463.62902
Cyprus,18292.68478
Czech Republic,12473.37779
Germany,30543.88455
Djibouti,1236.477167
Dominica,4776.625877
Denmark,39509.54601
Dominican Republic,3458.499232
Algeria,2966.864433
East Asia & Pacific (excluding high income),2269.057854
Early-demographic dividend,1791.597891
East Asia & Pacific,5075.495634
Europe & Central Asia (excluding high income),4734.283704
Europe & Central Asia,15742.67237
Ecuador,3122.397454
"Egypt, Arab Rep.",1585.659478
Euro area,26080.14476
Eritrea,381.3051846
Spain,19597.80414
Estonia,11369.01018
Ethiopia,288.0299701
European Union,22332.80397
Fragile and conflict affected situations,1229.043126
Finland,32216.1744
Fiji,3118.072919
France,28661.9903
Faroe Islands,41339.63837
"Micronesia, Fed. Sts.",2265.15228
Gabon,6074.206261
United Kingdom,29948.95679
Georgia,2196.338088
Ghana,823.3909228
Gibraltar,#DIV/0!
Guinea,537.0497459
"Gambia, The",590.5777665
Guinea-Bissau,380.0841217
